ingredient,total_usage,ingredient_norm,number_of_shipments,avg_quantity_per_shipment_grams,weeks_between_shipments,weekly_usage_estimate,days_until_depletion,reorder_alert
boychoy,46791.666666666664,,,,,10806.389530408005,,游댯 Unknown (No Shipment Data)
braised beef used,101590.0,braised beef used,3.0,6047.893333333333,1.0,23461.89376443418,1.8044260944318669,游댮 Critical - Reorder Now
braised chicken,86810.0,braised chicken,2.0,9071.84,1.0,20048.49884526559,3.167463084898053,游댮 Critical - Reorder Now
braised pork,54680.0,,,,,12628.175519630484,,游댯 Unknown (No Shipment Data)
carrot,1786.6666666666667,carrot,3.0,3023.9466666666667,1.0,412.6250962278676,51.29990119402985,游릭 Sufficient
cilantro,32173.333333333332,cilantro,2.0,1133.98,1.0,7430.331023864511,1.0683050290095317,游댮 Critical - Reorder Now
egg,983.0,egg,5.0,1200.0,1.0,227.02078521939953,37.00101729399797,游릭 Sufficient
green onion,35746.666666666664,green onion,2.0,4535.92,1.0,8255.581216320246,3.8460574934725846,游댮 Critical - Reorder Now
peas,1786.6666666666667,peas,3.0,3023.9466666666667,1.0,412.6250962278676,51.29990119402985,游릭 Sufficient
pickle cabbage,31916.666666666668,,,,,7371.054657428792,,游댯 Unknown (No Shipment Data)
ramen,1186.1666666666667,ramen,15.0,333.3333333333333,2.0,273.94149345650504,8.517633834480819,游 Reorder Soon
rice,62533.333333333336,rice,2.0,11339.8,2.0,14441.878367975365,5.496417985074626,游댮 Critical - Reorder Now
rice noodles,126750.0,rice noodles,2.0,11339.8,4.0,29272.517321016167,2.7117107534516762,游댮 Critical - Reorder Now
white onion,3573.3333333333335,white onion,4.0,3000.0,1.0,825.2501924557351,25.446828358208954,游릭 Sufficient
