source_page,source_table,group,count,amount,source_sheet,category,item,source_file,period,item_norm
1,1,Lunch Menu,269.0,3783.26,data 1,,,May_Data_Matrix (1),2025-05,lunch menu
1,1,Open Food,2.0,4.52,data 1,,,May_Data_Matrix (1),2025-05,open food
1,1,All Day Menu,,61296.15,data 1,,,May_Data_Matrix (1),2025-05,all day menu
1,1,Fried Chicken,787.0,7935.26,data 2,Fried Chicken,,May_Data_Matrix (1),2025-05,fried chicken
1,1,Combo Items,0.0,0.0,data 2,Combo Items,,May_Data_Matrix (1),2025-05,combo items
1,1,Drink,,2922.54,data 2,Drink,,May_Data_Matrix (1),2025-05,drink
1,1,Additonal,175.0,358.48,data 2,Additonal,,May_Data_Matrix (1),2025-05,additonal
1,1,Rice Noodle,524.0,7698.91,data 2,Rice Noodle,,May_Data_Matrix (1),2025-05,rice noodle
1,1,Wonton,50.0,546.94,data 2,Wonton,,May_Data_Matrix (1),2025-05,wonton
1,1,Milk Tea,244.0,1108.72,data 2,Milk Tea,,May_Data_Matrix (1),2025-05,milk tea
1,1,Combo Items Donot Delete,0.0,0.0,data 2,Combo Items Donot Delete,,May_Data_Matrix (1),2025-05,combo items donot delete
1,1,Appetizer,,6217.05,data 2,Appetizer,,May_Data_Matrix (1),2025-05,appetizer
1,1,Ramen,816.0,12118.38,data 2,Ramen,,May_Data_Matrix (1),2025-05,ramen
1,1,Tossed Rice Noodle,398.0,6000.15,data 2,Tossed Rice Noodle,,May_Data_Matrix (1),2025-05,tossed rice noodle
1,1,Lunch Special,269.0,3783.26,data 2,Lunch Special,,May_Data_Matrix (1),2025-05,lunch special
1,1,Tossed Ramen,941.0,13539.42,data 2,Tossed Ramen,,May_Data_Matrix (1),2025-05,tossed ramen
1,1,Fried Rice,214.0,2850.3,data 2,Fried Rice,,May_Data_Matrix (1),2025-05,fried rice
1,1,Open Food,2.0,4.52,data 2,Open Food,,May_Data_Matrix (1),2025-05,open food
1,1,Beef Tossed Ramen,468.0,6921.26,data 3,,Beef Tossed Ramen,May_Data_Matrix (1),2025-05,beef tossed ramen
1,1,Beef Ramen,339.0,5045.65,data 3,,Beef Ramen,May_Data_Matrix (1),2025-05,beef ramen
1,1,Lunch Special,269.0,3783.26,data 3,,Lunch Special,May_Data_Matrix (1),2025-05,lunch special
1,1,Pork Tossed Ramen,260.0,3526.47,data 3,,Pork Tossed Ramen,May_Data_Matrix (1),2025-05,pork tossed ramen
1,1,Chicken Rice Noodle Soup,233.0,3303.84,data 3,,Chicken Rice Noodle Soup,May_Data_Matrix (1),2025-05,chicken rice noodle soup
1,1,Chicken Ramen,222.0,3313.0,data 3,,Chicken Ramen,May_Data_Matrix (1),2025-05,chicken ramen
1,1,Mai Special Fried Chicken(8),309.0,3089.87,data 3,,Mai Special Fried Chicken(8),May_Data_Matrix (1),2025-05,mai special fried chicken(8)
1,1,Beef Tossed Rice Noodle,195.0,3102.44,data 3,,Beef Tossed Rice Noodle,May_Data_Matrix (1),2025-05,beef tossed rice noodle
1,1,Chicken Tossed Ramen,200.0,2906.3,data 3,,Chicken Tossed Ramen,May_Data_Matrix (1),2025-05,chicken tossed ramen
1,1,Beef Rice Noodle Soup,147.0,2316.04,data 3,,Beef Rice Noodle Soup,May_Data_Matrix (1),2025-05,beef rice noodle soup
1,1,Pork Ramen,131.0,1845.21,data 3,,Pork Ramen,May_Data_Matrix (1),2025-05,pork ramen
1,1,Chicken Tossed Rice Noodles,118.0,1726.89,data 3,,Chicken Tossed Rice Noodles,May_Data_Matrix (1),2025-05,chicken tossed rice noodles
1,1,House Ramen,91.0,1474.52,data 3,,House Ramen,May_Data_Matrix (1),2025-05,house ramen
1,1,Mai's Golden Flake Fried Chicken(8),138.0,1378.05,data 3,,Mai's Golden Flake Fried Chicken(8),May_Data_Matrix (1),2025-05,mai's golden flake fried chicken(8)
1,1,Fried Pork Dumplings(10),119.0,1063.71,data 3,,Fried Pork Dumplings(10),May_Data_Matrix (1),2025-05,fried pork dumplings(10)
1,1,Pork Tossed Rice Noodle,72.0,992.7,data 3,,Pork Tossed Rice Noodle,May_Data_Matrix (1),2025-05,pork tossed rice noodle
2,1,Golden Coconut Crunch Chicken(8),96.0,982.35,data 3,,Golden Coconut Crunch Chicken(8),May_Data_Matrix (1),2025-05,golden coconut crunch chicken(8)
2,1,Pork Rice Noodle Soup,72.0,986.46,data 3,,Pork Rice Noodle Soup,May_Data_Matrix (1),2025-05,pork rice noodle soup
2,1,Chicken Fried Rice,80.0,1000.1,data 3,,Chicken Fried Rice,May_Data_Matrix (1),2025-05,chicken fried rice
2,1,Mai OG Fried Chicken Wings(4),193.0,960.71,data 3,,Mai OG Fried Chicken Wings(4),May_Data_Matrix (1),2025-05,mai og fried chicken wings(4)
2,1,Brown Sugar Milk Tea w. Boba (24oz),196.0,888.71,data 3,,Brown Sugar Milk Tea w. Boba (24oz),May_Data_Matrix (1),2025-05,brown sugar milk tea w. boba (24oz)
2,1,Steam Pork Dumplings(10),94.0,819.22,data 3,,Steam Pork Dumplings(10),May_Data_Matrix (1),2025-05,steam pork dumplings(10)
2,1,Crispy Spring Roll(3),185.0,726.44,data 3,,Crispy Spring Roll(3),May_Data_Matrix (1),2025-05,crispy spring roll(3)
2,1,House Rice Noodle Soup,42.0,684.02,data 3,,House Rice Noodle Soup,May_Data_Matrix (1),2025-05,house rice noodle soup
2,1,House Fried Rice,46.0,692.23,data 3,,House Fried Rice,May_Data_Matrix (1),2025-05,house fried rice
2,1,Tempura Shrimp(3),138.0,674.01,data 3,,Tempura Shrimp(3),May_Data_Matrix (1),2025-05,tempura shrimp(3)
2,1,Crispy Pork Egg Roll(3),162.0,651.24,data 3,,Crispy Pork Egg Roll(3),May_Data_Matrix (1),2025-05,crispy pork egg roll(3)
2,1,Onion Glory Fried Chicken(8),59.0,589.13,data 3,,Onion Glory Fried Chicken(8),May_Data_Matrix (1),2025-05,onion glory fried chicken(8)
2,1,Strawberry Sunrise Tea,152.0,555.16,data 3,,Strawberry Sunrise Tea,May_Data_Matrix (1),2025-05,strawberry sunrise tea
2,1,Sichuan Chili Wontons,50.0,546.94,data 3,,Sichuan Chili Wontons,May_Data_Matrix (1),2025-05,sichuan chili wontons
2,1,Vegetable Ramen,33.0,440.0,data 3,,Vegetable Ramen,May_Data_Matrix (1),2025-05,vegetable ramen
2,1,Vegetable Rice Noodle Soup,30.0,408.55,data 3,,Vegetable Rice Noodle Soup,May_Data_Matrix (1),2025-05,vegetable rice noodle soup
2,1,Citrus Honey Fried Chicken  (8),43.0,434.87,data 3,,Citrus Honey Fried Chicken  (8),May_Data_Matrix (1),2025-05,citrus honey fried chicken  (8)
2,1,Beef Fried Rice,28.0,377.5,data 3,,Beef Fried Rice,May_Data_Matrix (1),2025-05,beef fried rice
2,1,Shrimp Fried Rice,29.0,389.91,data 3,,Shrimp Fried Rice,May_Data_Matrix (1),2025-05,shrimp fried rice
2,1,Mai Buffalo Chicken Wings(8),35.0,346.69,data 3,,Mai Buffalo Chicken Wings(8),May_Data_Matrix (1),2025-05,mai buffalo chicken wings(8)
2,1,Golden kiwi,87.0,316.02,data 3,,Golden kiwi,May_Data_Matrix (1),2025-05,golden kiwi
2,1,Dr. Pepper,118.0,344.71,data 3,,Dr. Pepper,May_Data_Matrix (1),2025-05,dr. pepper
3,1,Cream Cheese Wonton（6）,60.0,352.83,data 3,,Cream Cheese Wonton（6）,May_Data_Matrix (1),2025-05,cream cheese wonton（6）
3,1,Specialty Drink,115.0,338.5,data 3,,Specialty Drink,May_Data_Matrix (1),2025-05,specialty drink
3,1,Diet Pepsi,97.0,284.98,data 3,,Diet Pepsi,May_Data_Matrix (1),2025-05,diet pepsi
3,1,Spicy Cucumber Salad,46.0,249.14,data 3,,Spicy Cucumber Salad,May_Data_Matrix (1),2025-05,spicy cucumber salad
3,1,Pepsi,83.0,238.52,data 3,,Pepsi,May_Data_Matrix (1),2025-05,pepsi
3,1,Cream Cheese Rangoon(6),47.0,263.68,data 3,,Cream Cheese Rangoon(6),May_Data_Matrix (1),2025-05,cream cheese rangoon(6)
3,1,Pork Fried Rice,17.0,213.55,data 3,,Pork Fried Rice,May_Data_Matrix (1),2025-05,pork fried rice
3,1,Sweet Ice Tea,79.0,228.04,data 3,,Sweet Ice Tea,May_Data_Matrix (1),2025-05,sweet ice tea
3,1,Unsweet Ice Tea,69.0,197.17,data 3,,Unsweet Ice Tea,May_Data_Matrix (1),2025-05,unsweet ice tea
3,1,Crispy French Fries,47.0,184.56,data 3,,Crispy French Fries,May_Data_Matrix (1),2025-05,crispy french fries
3,1,BF chicken cutlet combo,20.0,242.53,data 3,,BF chicken cutlet combo,May_Data_Matrix (1),2025-05,bf chicken cutlet combo
3,1,Wasabi Spiced Fried Chicken (8),16.0,158.84,data 3,,Wasabi Spiced Fried Chicken (8),May_Data_Matrix (1),2025-05,wasabi spiced fried chicken (8)
3,1,Tangy Honey Mustard Fried Chicken (8),19.0,186.57,data 3,,Tangy Honey Mustard Fried Chicken (8),May_Data_Matrix (1),2025-05,tangy honey mustard fried chicken (8)
3,1,Vegetable Fried Rice,14.0,177.0,data 3,,Vegetable Fried Rice,May_Data_Matrix (1),2025-05,vegetable fried rice
3,1,Milk Tea(20oz),31.0,153.81,data 3,,Milk Tea(20oz),May_Data_Matrix (1),2025-05,milk tea(20oz)
3,1,Vegetable Tossed Ramen,11.0,153.95,data 3,,Vegetable Tossed Ramen,May_Data_Matrix (1),2025-05,vegetable tossed ramen
3,1,Wasabi Spiced Fried Chicken(8),12.0,138.88,data 3,,Wasabi Spiced Fried Chicken(8),May_Data_Matrix (1),2025-05,wasabi spiced fried chicken(8)
3,1,Tangy Honey Mustard Fried Chicken(8),11.0,129.49,data 3,,Tangy Honey Mustard Fried Chicken(8),May_Data_Matrix (1),2025-05,tangy honey mustard fried chicken(8)
3,1,Chili Pepper Fried Chicken（8）,13.0,129.11,data 3,,Chili Pepper Fried Chicken（8）,May_Data_Matrix (1),2025-05,chili pepper fried chicken（8）
3,1,Starry - Sprite,45.0,132.29,data 3,,Starry - Sprite,May_Data_Matrix (1),2025-05,starry - sprite
3,1,Braised Chicken Thigh,36.0,106.77,data 3,,Braised Chicken Thigh,May_Data_Matrix (1),2025-05,braised chicken thigh
3,1,Vegetable Tossed Rice Noodle,9.0,114.96,data 3,,Vegetable Tossed Rice Noodle,May_Data_Matrix (1),2025-05,vegetable tossed rice noodle
4,1,Brown Sugar Rice Cake,22.0,117.14,data 3,,Brown Sugar Rice Cake,May_Data_Matrix (1),2025-05,brown sugar rice cake
4,1,Lemonade,35.0,100.73,data 3,,Lemonade,May_Data_Matrix (1),2025-05,lemonade
4,1,Jumbo Chicken Tender (3),19.0,90.93,data 3,,Jumbo Chicken Tender (3),May_Data_Matrix (1),2025-05,jumbo chicken tender (3)
4,1,House Tossed Rice Noodle,4.0,63.16,data 3,,House Tossed Rice Noodle,May_Data_Matrix (1),2025-05,house tossed rice noodle
4,1,Chili Pepper Fried Chicken (8),6.0,62.94,data 3,,Chili Pepper Fried Chicken (8),May_Data_Matrix (1),2025-05,chili pepper fried chicken (8)
4,1,Brown Sugar Milk Tea NO BOBA (24oz),17.0,66.2,data 3,,Brown Sugar Milk Tea NO BOBA (24oz),May_Data_Matrix (1),2025-05,brown sugar milk tea no boba (24oz)
4,1,White Rice - DINE IN,52.0,52.44,data 3,,White Rice - DINE IN,May_Data_Matrix (1),2025-05,white rice - dine in
4,1,Bottled Soda,21.0,42.19,data 3,,Bottled Soda,May_Data_Matrix (1),2025-05,bottled soda
4,1,Hot Tea,13.0,38.39,data 3,,Hot Tea,May_Data_Matrix (1),2025-05,hot tea
4,1,Crispy French Fries(LG),8.0,33.92,data 3,,Crispy French Fries(LG),May_Data_Matrix (1),2025-05,crispy french fries(lg)
4,1,BF chicken cutlet,10.0,65.93,data 3,,BF chicken cutlet,May_Data_Matrix (1),2025-05,bf chicken cutlet
4,1,Plain Fried Rice,15.0,45.49,data 3,,Plain Fried Rice,May_Data_Matrix (1),2025-05,plain fried rice
4,1,Orange Crush,10.0,29.74,data 3,,Orange Crush,May_Data_Matrix (1),2025-05,orange crush
4,1,Rice Noodle,17.0,25.8,data 3,,Rice Noodle,May_Data_Matrix (1),2025-05,rice noodle
4,1,White Rice-To Go,6.0,21.0,data 3,,White Rice-To Go,May_Data_Matrix (1),2025-05,white rice-to go
4,1,Sweet Sesame Ball,5.0,25.02,data 3,,Sweet Sesame Ball,May_Data_Matrix (1),2025-05,sweet sesame ball
4,1,White Rice,5.0,20.16,data 3,,White Rice,May_Data_Matrix (1),2025-05,white rice
4,1,House Tossed Ramen,2.0,31.44,data 3,,House Tossed Ramen,May_Data_Matrix (1),2025-05,house tossed ramen
4,1,Ramune - Original,4.0,13.76,data 3,,Ramune - Original,May_Data_Matrix (1),2025-05,ramune - original
4,1,Chunked Beef,4.0,15.96,data 3,,Chunked Beef,May_Data_Matrix (1),2025-05,chunked beef
4,1,Braised Chicken,5.0,16.9,data 3,,Braised Chicken,May_Data_Matrix (1),2025-05,braised chicken
4,1,soup to go,7.0,10.47,data 3,,soup to go,May_Data_Matrix (1),2025-05,soup to go
5,1,Ramen,6.0,9.0,data 3,,Ramen,May_Data_Matrix (1),2025-05,ramen
5,1,Mai‘s Special Sauce,11.0,10.72,data 3,,Mai‘s Special Sauce,May_Data_Matrix (1),2025-05,mai‘s special sauce
5,1,北冰洋 Orange Soda,2.0,7.18,data 3,,北冰洋 Orange Soda,May_Data_Matrix (1),2025-05,北冰洋 orange soda
5,1,Pepsi Zero,2.0,7.18,data 3,,Pepsi Zero,May_Data_Matrix (1),2025-05,pepsi zero
5,1,Sweet Tea,2.0,7.18,data 3,,Sweet Tea,May_Data_Matrix (1),2025-05,sweet tea
5,1,Braised Pork,3.0,9.22,data 3,,Braised Pork,May_Data_Matrix (1),2025-05,braised pork
5,1,Shrimp,2.0,5.98,data 3,,Shrimp,May_Data_Matrix (1),2025-05,shrimp
5,1,Bottled Water,3.0,5.97,data 3,,Bottled Water,May_Data_Matrix (1),2025-05,bottled water
5,1,Open Food,2.0,4.52,data 3,,Open Food,May_Data_Matrix (1),2025-05,open food
5,1,Braised Egg,2.0,4.3,data 3,,Braised Egg,May_Data_Matrix (1),2025-05,braised egg
5,1,Mai‘s special Sauce,4.0,4.26,data 3,,Mai‘s special Sauce,May_Data_Matrix (1),2025-05,mai‘s special sauce
5,1,Ramune - Orange,1.0,3.59,data 3,,Ramune - Orange,May_Data_Matrix (1),2025-05,ramune - orange
5,1,Starry,1.0,3.59,data 3,,Starry,May_Data_Matrix (1),2025-05,starry
5,1,Ramune - Melon,1.0,2.99,data 3,,Ramune - Melon,May_Data_Matrix (1),2025-05,ramune - melon
5,1,Ramune - Strawberry,2.0,6.28,data 3,,Ramune - Strawberry,May_Data_Matrix (1),2025-05,ramune - strawberry
5,1,Water,,0.0,data 3,,Water,May_Data_Matrix (1),2025-05,water
5,1,Sweet Sesame Ball (6) w. red bean,1.0,4.5,data 3,,Sweet Sesame Ball (6) w. red bean,May_Data_Matrix (1),2025-05,sweet sesame ball (6) w. red bean
5,1,Golden kiwi,5.0,18.38,data 3,,Golden kiwi,May_Data_Matrix (1),2025-05,golden kiwi
1,1,Lunch Menu,222.0,3089.08,data 1,,,June_Data_Matrix,2025-06,lunch menu
1,1,All Day Menu,,39433.25,data 1,,,June_Data_Matrix,2025-06,all day menu
1,1,Open Food,1.0,5.0,data 1,,,June_Data_Matrix,2025-06,open food
1,1,Tossed Ramen,510.0,7287.69,data 2,Tossed Ramen,,June_Data_Matrix,2025-06,tossed ramen
1,1,Tossed Rice Noodle,243.0,3652.73,data 2,Tossed Rice Noodle,,June_Data_Matrix,2025-06,tossed rice noodle
1,1,Ramen,479.0,7108.15,data 2,Ramen,,June_Data_Matrix,2025-06,ramen
1,1,Appetizer,836.0,4487.7,data 2,Appetizer,,June_Data_Matrix,2025-06,appetizer
1,1,Additonal,127.0,255.81,data 2,Additonal,,June_Data_Matrix,2025-06,additonal
1,1,Fried Rice,146.0,1967.46,data 2,Fried Rice,,June_Data_Matrix,2025-06,fried rice
1,1,Fried Chicken,551.0,5725.04,data 2,Fried Chicken,,June_Data_Matrix,2025-06,fried chicken
1,1,Lunch Special,222.0,3089.08,data 2,Lunch Special,,June_Data_Matrix,2025-06,lunch special
1,1,Prep item,0.0,0.0,data 2,Prep item,,June_Data_Matrix,2025-06,prep item
1,1,Wonton,103.0,1187.4,data 2,Wonton,,June_Data_Matrix,2025-06,wonton
1,1,Milk Tea,189.0,836.14,data 2,Milk Tea,,June_Data_Matrix,2025-06,milk tea
1,1,Special Offer,37.0,472.38,data 2,Special Offer,,June_Data_Matrix,2025-06,special offer
1,1,Combo Items,0.0,0.0,data 2,Combo Items,,June_Data_Matrix,2025-06,combo items
1,1,Drink,,2086.79,data 2,Drink,,June_Data_Matrix,2025-06,drink
1,1,Open Food,1.0,5.0,data 2,Open Food,,June_Data_Matrix,2025-06,open food
1,1,Rice Noodle,298.0,4365.96,data 2,Rice Noodle,,June_Data_Matrix,2025-06,rice noodle
1,1,Beef Tossed Ramen,286.0,4248.69,data 3,,Beef Tossed Ramen,June_Data_Matrix,2025-06,beef tossed ramen
1,1,Lunch Special,222.0,3089.08,data 3,,Lunch Special,June_Data_Matrix,2025-06,lunch special
1,1,Beef Ramen,195.0,2907.79,data 3,,Beef Ramen,June_Data_Matrix,2025-06,beef ramen
1,1,Chicken Rice Noodle Soup,153.0,2196.39,data 3,,Chicken Rice Noodle Soup,June_Data_Matrix,2025-06,chicken rice noodle soup
1,1,Beef Tossed Rice Noodle,113.0,1771.24,data 3,,Beef Tossed Rice Noodle,June_Data_Matrix,2025-06,beef tossed rice noodle
1,1,BF chicken cutlet combo,142.0,1722.24,data 3,,BF chicken cutlet combo,June_Data_Matrix,2025-06,bf chicken cutlet combo
1,1,Pork Tossed Ramen,134.0,1769.95,data 3,,Pork Tossed Ramen,June_Data_Matrix,2025-06,pork tossed ramen
1,1,Chicken Ramen,117.0,1724.75,data 3,,Chicken Ramen,June_Data_Matrix,2025-06,chicken ramen
1,1,Beef Rice Noodle Soup,81.0,1241.45,data 3,,Beef Rice Noodle Soup,June_Data_Matrix,2025-06,beef rice noodle soup
1,1,Mai Special Fried Chicken(8),127.0,1283.91,data 3,,Mai Special Fried Chicken(8),June_Data_Matrix,2025-06,mai special fried chicken(8)
1,1,Chicken Tossed Rice Noodles,78.0,1176.77,data 3,,Chicken Tossed Rice Noodles,June_Data_Matrix,2025-06,chicken tossed rice noodles
1,1,Sichuan Chili Wontons,103.0,1187.4,data 3,,Sichuan Chili Wontons,June_Data_Matrix,2025-06,sichuan chili wontons
1,1,Chicken Tossed Ramen,81.0,1138.02,data 3,,Chicken Tossed Ramen,June_Data_Matrix,2025-06,chicken tossed ramen
1,1,House Ramen,65.0,1077.79,data 3,,House Ramen,June_Data_Matrix,2025-06,house ramen
1,1,Pork Ramen,77.0,1034.83,data 3,,Pork Ramen,June_Data_Matrix,2025-06,pork ramen
1,1,Golden Coconut Crunch Chicken(8),71.0,715.74,data 3,,Golden Coconut Crunch Chicken(8),June_Data_Matrix,2025-06,golden coconut crunch chicken(8)
2,1,Mai's Golden Flake Fried Chicken(8),66.0,660.27,data 3,,Mai's Golden Flake Fried Chicken(8),June_Data_Matrix,2025-06,mai's golden flake fried chicken(8)
2,1,Chicken Fried Rice,47.0,588.99,data 3,,Chicken Fried Rice,June_Data_Matrix,2025-06,chicken fried rice
2,1,Fried Pork Dumplings(10),63.0,576.99,data 3,,Fried Pork Dumplings(10),June_Data_Matrix,2025-06,fried pork dumplings(10)
2,1,House Fried Rice,37.0,560.07,data 3,,House Fried Rice,June_Data_Matrix,2025-06,house fried rice
2,1,Mai OG Fried Chicken Wings(4),112.0,566.58,data 3,,Mai OG Fried Chicken Wings(4),June_Data_Matrix,2025-06,mai og fried chicken wings(4)
2,1,Cream Cheese Rangoon(6),95.0,555.17,data 3,,Cream Cheese Rangoon(6),June_Data_Matrix,2025-06,cream cheese rangoon(6)
2,1,Pork Tossed Rice Noodle,43.0,575.37,data 3,,Pork Tossed Rice Noodle,June_Data_Matrix,2025-06,pork tossed rice noodle
2,1,Crispy Pork Egg Roll(3),121.0,482.76,data 3,,Crispy Pork Egg Roll(3),June_Data_Matrix,2025-06,crispy pork egg roll(3)
2,1,Crispy Spring Roll(3),119.0,475.5,data 3,,Crispy Spring Roll(3),June_Data_Matrix,2025-06,crispy spring roll(3)
2,1,Steam Pork Dumplings(10),54.0,475.34,data 3,,Steam Pork Dumplings(10),June_Data_Matrix,2025-06,steam pork dumplings(10)
2,1,Brown Sugar Milk Tea w. Boba (24oz),103.0,441.87,data 3,,Brown Sugar Milk Tea w. Boba (24oz),June_Data_Matrix,2025-06,brown sugar milk tea w. boba (24oz)
2,1,Pork Rice Noodle Soup,29.0,389.42,data 3,,Pork Rice Noodle Soup,June_Data_Matrix,2025-06,pork rice noodle soup
2,1,Tempura Shrimp(3),83.0,407.11,data 3,,Tempura Shrimp(3),June_Data_Matrix,2025-06,tempura shrimp(3)
2,1,Vegetable Ramen,25.0,362.99,data 3,,Vegetable Ramen,June_Data_Matrix,2025-06,vegetable ramen
2,1,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",24.0,302.59,data 3,,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",June_Data_Matrix,2025-06,"mai's wing wheel (mai og, onion, honey, coco, special)"
2,1,Onion Glory Fried Chicken(8),31.0,307.44,data 3,,Onion Glory Fried Chicken(8),June_Data_Matrix,2025-06,onion glory fried chicken(8)
2,1,House Rice Noodle Soup,20.0,339.85,data 3,,House Rice Noodle Soup,June_Data_Matrix,2025-06,house rice noodle soup
2,1,Dr. Pepper,90.0,268.22,data 3,,Dr. Pepper,June_Data_Matrix,2025-06,dr. pepper
2,1,Spicy Cucumber Salad,47.0,252.68,data 3,,Spicy Cucumber Salad,June_Data_Matrix,2025-06,spicy cucumber salad
2,1,Golden kiwi,62.0,226.72,data 3,,Golden kiwi,June_Data_Matrix,2025-06,golden kiwi
2,1,Shrimp Fried Rice,18.0,249.85,data 3,,Shrimp Fried Rice,June_Data_Matrix,2025-06,shrimp fried rice
2,1,Citrus Honey Fried Chicken  (8),24.0,241.8,data 3,,Citrus Honey Fried Chicken  (8),June_Data_Matrix,2025-06,citrus honey fried chicken  (8)
3,1,Unsweet Ice Tea,79.0,232.93,data 3,,Unsweet Ice Tea,June_Data_Matrix,2025-06,unsweet ice tea
3,1,Beef Fried Rice,18.0,243.61,data 3,,Beef Fried Rice,June_Data_Matrix,2025-06,beef fried rice
3,1,Strawberry Sunrise Tea,62.0,235.51,data 3,,Strawberry Sunrise Tea,June_Data_Matrix,2025-06,strawberry sunrise tea
3,1,Pepsi,75.0,216.23,data 3,,Pepsi,June_Data_Matrix,2025-06,pepsi
3,1,BF chicken cutlet,33.0,222.28,data 3,,BF chicken cutlet,June_Data_Matrix,2025-06,bf chicken cutlet
3,1,Sweet Ice Tea,76.0,220.93,data 3,,Sweet Ice Tea,June_Data_Matrix,2025-06,sweet ice tea
3,1,Mai Buffalo Chicken Wings(8),21.0,207.85,data 3,,Mai Buffalo Chicken Wings(8),June_Data_Matrix,2025-06,mai buffalo chicken wings(8)
3,1,Vegetable Rice Noodle Soup,15.0,198.84,data 3,,Vegetable Rice Noodle Soup,June_Data_Matrix,2025-06,vegetable rice noodle soup
3,1,Specialty Drink,72.0,212.94,data 3,,Specialty Drink,June_Data_Matrix,2025-06,specialty drink
3,1,Vegetable Fried Rice,14.0,171.38,data 3,,Vegetable Fried Rice,June_Data_Matrix,2025-06,vegetable fried rice
3,1,Pork Fried Rice,12.0,153.56,data 3,,Pork Fried Rice,June_Data_Matrix,2025-06,pork fried rice
3,1,Pork Bun (3),28.0,159.05,data 3,,Pork Bun (3),June_Data_Matrix,2025-06,pork bun (3)
3,1,Diet Pepsi,55.0,161.9,data 3,,Diet Pepsi,June_Data_Matrix,2025-06,diet pepsi
3,1,Brown Sugar Rice Cake (5),22.0,119.12,data 3,,Brown Sugar Rice Cake (5),June_Data_Matrix,2025-06,brown sugar rice cake (5)
3,1,Jumbo Chicken Tender (3),21.0,118.76,data 3,,Jumbo Chicken Tender (3),June_Data_Matrix,2025-06,jumbo chicken tender (3)
3,1,Vegetable Tossed Rice Noodle,8.0,113.36,data 3,,Vegetable Tossed Rice Noodle,June_Data_Matrix,2025-06,vegetable tossed rice noodle
3,1,Crispy French Fries,36.0,140.51,data 3,,Crispy French Fries,June_Data_Matrix,2025-06,crispy french fries
3,1,Mai's Wing Wheel,8.0,99.79,data 3,,Mai's Wing Wheel,June_Data_Matrix,2025-06,mai's wing wheel
3,1,Tangy Honey Mustard Fried Chicken (8),12.0,111.7,data 3,,Tangy Honey Mustard Fried Chicken (8),June_Data_Matrix,2025-06,tangy honey mustard fried chicken (8)
3,1,Sweet Sesame Ball (6) w. red bean,20.0,94.8,data 3,,Sweet Sesame Ball (6) w. red bean,June_Data_Matrix,2025-06,sweet sesame ball (6) w. red bean
3,1,Milk Tea(20oz),19.0,95.35,data 3,,Milk Tea(20oz),June_Data_Matrix,2025-06,milk tea(20oz)
3,1,Thai Milk Tea w. Boba (24oz)-1,19.0,88.18,data 3,,Thai Milk Tea w. Boba (24oz)-1,June_Data_Matrix,2025-06,thai milk tea w. boba (24oz)-1
4,1,Starry - Sprite,28.0,81.51,data 3,,Starry - Sprite,June_Data_Matrix,2025-06,starry - sprite
4,1,Chili Pepper Fried Chicken（8）,7.0,69.0,data 3,,Chili Pepper Fried Chicken（8）,June_Data_Matrix,2025-06,chili pepper fried chicken（8）
4,1,Wasabi Spiced Fried Chicken (8),7.0,68.93,data 3,,Wasabi Spiced Fried Chicken (8),June_Data_Matrix,2025-06,wasabi spiced fried chicken (8)
4,1,Vegetable Tossed Ramen,7.0,99.05,data 3,,Vegetable Tossed Ramen,June_Data_Matrix,2025-06,vegetable tossed ramen
4,1,Braised Chicken Thigh,21.0,66.77,data 3,,Braised Chicken Thigh,June_Data_Matrix,2025-06,braised chicken thigh
4,1,Thai Milk Tea w. Boba (24oz),15.0,65.55,data 3,,Thai Milk Tea w. Boba (24oz),June_Data_Matrix,2025-06,thai milk tea w. boba (24oz)
4,1,Lemonade,23.0,64.11,data 3,,Lemonade,June_Data_Matrix,2025-06,lemonade
